prompt,backend,psnr_db,corr,ssim_mean,lpips_mean,lpips_max,abs_diff_mean,abs_diff_max
cat_windowsill,MXFP8,20.920,0.9250,0.7599,0.2846,0.3257,13.989,255
cat_windowsill,sage_blk16,15.333,0.6976,0.4162,0.6879,0.7211,33.069,255
busy_street,MXFP8,19.794,0.7499,0.6713,0.3556,0.3929,13.646,255
busy_street,sage_blk16,17.239,0.4332,0.4580,0.6216,0.6519,21.619,255
ocean_sunset,MXFP8,21.023,0.9194,0.7480,0.2725,0.3385,13.474,255
ocean_sunset,sage_blk16,16.001,0.7112,0.3847,0.4833,0.5072,29.602,255
clouds_timelapse,MXFP8,25.449,0.9689,0.8519,0.1673,0.4142,7.660,255
clouds_timelapse,sage_blk16,20.410,0.8940,0.7236,0.4520,0.5000,15.575,245
dancer_jump,MXFP8,25.063,0.9455,0.8892,0.2394,0.5358,6.244,255
dancer_jump,sage_blk16,20.309,0.8511,0.6797,0.5690,0.5902,15.362,255
flower_blooming,MXFP8,23.660,0.9328,0.8546,0.1797,0.2551,7.189,255
flower_blooming,sage_blk16,18.512,0.7566,0.6270,0.4997,0.5177,16.031,255
drone_city_night,MXFP8,17.370,0.6072,0.5863,0.3098,0.3291,16.044,255
drone_city_night,sage_blk16,16.868,0.4611,0.4384,0.5229,0.5449,19.804,255
text_hello,MXFP8,21.474,0.8852,0.8891,0.1684,0.3226,6.089,255
text_hello,sage_blk16,17.404,0.6422,0.6199,0.5941,0.6446,15.978,255
ball_bouncing,MXFP8,28.789,0.9880,0.9250,0.1177,0.2856,5.918,251
ball_bouncing,sage_blk16,18.207,0.8539,0.7354,0.4227,0.5449,17.651,255
empty_room_sun,MXFP8,20.369,0.8920,0.7883,0.4041,0.4390,17.380,195
empty_room_sun,sage_blk16,18.269,0.8137,0.6586,0.6546,0.6720,22.850,252
